"artists","avg_popularity","avg_duration_ms","avg_danceability","avg_energy","avg_key","avg_loudness","avg_mode","avg_speechiness","avg_acousticness","avg_instrumentalness","avg_liveness","avg_valence","avg_tempo","avg_time_signature"
"Marshall Jefferson;Noosa Heads;Timewriter",10,437387,0.805,0.302,4,-17.02,0,0.0994,0.00568,0.829,0.0808,0.615,129.003,4
"Marshall Jefferson;Roy Davis Jr.;Umosia",4,364760,0.74,0.361,10,-22.078,0,0.0687,0.185,0.308,0.0454,0.775,119.993,4
"Marshall Jefferson;Skapes",14,227818,0.865,0.683,11,-7.708,0,0.0556,0.00156,0.179,0.0214,0.469,124,4
"Marshall Jefferson;Solardo",62,196109,0.791,0.801,4,-6.344,0,0.07,0.00531,0.189,0.509,0.609,124.985,4
"Marshall Jefferson;Wh0;El Boogie",14,151967,0.694,0.817,9,-4.754,0,0.0358,0.000352,0,0.0848,0.803,121.987,4
"Marshall Masters",24.5,120110,0.679,0.866,8,-9.691,1,0.0719,3.84e-05,0.755,0.956,0.0457,147.086,4
"Marshall Masters;The Ultimate MC",37,151539.25,0.62675,0.95175,6.75,-5.16225,0.25,0.1575,0.104675,0.051575,0.64075,0.416,156.28825,4
"Marshmello",58.8636363636364,208142.5,0.589863636363636,0.890363636363636,4.95454545454546,-3.24809090909091,0.590909090909091,0.0450545454545455,0.0186967272727273,0.198678352727273,0.147190909090909,0.463,142.325409090909,4.04545454545455
"Marshmello;A Day To Remember",61,237203,0.433,0.905,11,-2.171,1,0.101,0.00803,0,0.337,0.375,148.149,4
"Marshmello;Anne-Marie",45,202620,0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,4
"Marshmello;Anne-Marie;Borgeous",46,202440,0.439,0.847,0,-6.258,1,0.242,0.0246,0,0.139,0.298,114.099,4
"Marshmello;Anne-Marie;R3HAB",56,157142,0.545,0.814,9,-4.398,0,0.0409,0.028,0,0.0969,0.696,104.93,4
"Marshmello;Bastille",13.4375,214268.479166667,0.685145833333333,0.792979166666667,4.9375,-2.7841875,0.979166666666667,0.0452958333333333,0.190604166666667,2.83333333333333e-08,0.168666666666667,0.667708333333333,100.088541666667,4
"Marshmello;Bastille;Breathe Carolina",56,158095,0.691,0.924,0,-3.839,1,0.0577,0.00828,3.8e-06,0.402,0.34,125.983,4
